pair_id,changed,widened_to_star,added_actions_count,removed_actions_count,actions_ctrl,actions_poi,resources_ctrl,resources_poi
dynamodb0026,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0026__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0027__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0028__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0029__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0030__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0031__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0032__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0033__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0034__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0035__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0036__service_wildcard,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037__broad_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037__json_seed_above,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037__precedence_takeover,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037__resource_star,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
dynamodb0037__role_override,False,False,0,0,dynamodb:getitem,dynamodb:getitem,*,*
